feature,importance
p_median_trip_min,19111.59145340249
distance_km,5830.714789891988
p_mean_speed_kmph,2169.498070342094
manhattan_dist,1737.1133190385997
p_count,565.2358123257757
bearing,295.8754147067666
p2_mean_speed_kmph,232.40905254408716
p2_median_trip_min,167.7600575119257
pickup_dayofyear,148.85525324568152
dropoff_cluster,121.62996470481157
pickup_minute,113.8161485813558
p2_count,96.33483723178506
pickup_cluster,83.43266053795814
hour_cos,59.12095517143607
pickup_weekday,45.079808813333514
pickup_hour,43.84727957323194
hour_sin,35.71734128147364
passenger_count,29.019575717300178
vendor_id,21.694192381203173
pickup_month,16.3970275208354
